,0,1
69,2019-07-29,3.89%
70,2019-07-22,-9.79%
71,2019-07-15,7.56%
72,2019-07-08,-6.5%
73,2019-07-01,8.66%
74,2019-06-24,-5.6%
75,2019-06-17,-6.73%
0,2019-06-10,
1,2020-11-16,-10.2%
2,2020-11-09,14.07%
3,2020-11-02,4.31%
4,2020-10-26,2.93%
5,2020-10-19,-14.62%
6,2020-10-12,4.45%
7,2020-10-05,-8.9%
8,2020-09-28,7.0%
9,2020-09-21,-7.95%
10,2020-09-14,2.71%
11,2020-09-07,6.18%
12,2020-08-31,6.16%
13,2020-08-24,5.2%
14,2020-08-17,-0.72%
15,2020-08-10,-11.14%
16,2020-08-03,-5.33%
17,2020-07-27,2.63%
18,2020-07-20,8.11%
19,2020-07-13,-1.81%
20,2020-07-06,4.67%
21,2020-06-29,-10.49%
22,2020-06-22,-3.16%
23,2020-06-15,5.93%
24,2020-06-08,4.57%
25,2020-06-01,4.56%
26,2020-05-25,-15.75%
27,2020-05-18,-2.47%
28,2020-05-11,17.91%
29,2020-05-04,-13.24%
30,2020-04-27,-3.9%
31,2020-04-20,8.12%
32,2020-04-13,10.43%
33,2020-04-06,-19.49%
34,2020-03-30,8.05%
35,2020-03-23,-0.23%
36,2020-03-16,-2.07%
37,2020-03-09,-6.31%
38,2020-03-02,-6.99%
39,2020-02-24,11.88%
40,2020-02-17,-6.29%
41,2020-02-10,-5.07%
42,2020-02-03,-1.21%
43,2020-01-27,5.96%
44,2020-01-20,-1.06%
45,2020-01-13,5.86%
46,2020-01-06,-3.78%
47,2019-12-30,9.85%
48,2019-12-23,-0.95%
49,2019-12-16,-10.59%
50,2019-12-09,7.23%
51,2019-12-02,11.93%
52,2019-11-25,-5.99%
53,2019-11-18,1.23%
54,2019-11-11,-8.21%
55,2019-11-04,0.23%
56,2019-10-28,2.76%
57,2019-10-21,-21.8%
58,2019-10-14,15.95%
59,2019-10-07,-5.79%
60,2019-09-30,
61,2019-09-16,5.63%
62,2019-09-09,-8.96%
63,2019-09-02,12.52%
64,2019-08-26,-1.57%
65,2019-08-19,-14.32%
66,2019-08-12,8.48%
67,2019-08-05,-9.05%
68,2019-07-29,3.67%
69,2019-07-22,7.41%
70,2019-07-15,-12.99%
71,2019-07-08,-3.07%
0,2019-07-01,
1,2020-11-16,4.92%
2,2020-11-09,-9.73%
3,2020-11-02,7.74%
4,2020-10-26,5.32%
5,2020-10-19,-12.53%
6,2020-10-12,-4.61%
7,2020-10-05,12.48%
8,2020-09-28,-13.42%
9,2020-09-21,12.38%
10,2020-09-14,-0.63%
11,2020-09-07,-17.4%
12,2020-08-31,1.96%
13,2020-08-24,2.19%
14,2020-08-17,12.66%
15,2020-08-10,-8.96%
16,2020-08-03,-8.41%
17,2020-07-27,1.81%
18,2020-07-20,4.6%
19,2020-07-13,11.37%
20,2020-07-06,-16.74%
21,2020-06-29,15.08%
22,2020-06-22,-13.38%
23,2020-06-15,-5.03%
24,2020-06-08,9.94%
25,2020-06-01,-5.11%
26,2020-05-25,6.03%
27,2020-05-18,3.31%
28,2020-05-11,-0.43%
29,2020-05-04,-1.92%
30,2020-04-27,-7.74%
31,2020-04-20,16.5%
32,2020-04-13,-12.56%
33,2020-04-06,9.3%
34,2020-03-30,-5.47%
35,2020-03-23,-10.58%
36,2020-03-16,9.57%
37,2020-03-09,2.16%
38,2020-03-02,-1.99%
39,2020-02-24,-6.49%
40,2020-02-17,-11.59%
41,2020-02-10,6.19%
42,2020-02-03,5.63%
43,2020-01-27,-1.85%
44,2020-01-20,-4.04%
45,2020-01-13,-8.35%
46,2020-01-06,-2.15%
47,2019-12-30,12.63%
48,2019-12-23,5.82%
49,2019-12-16,4.48%
50,2019-12-09,3.57%
51,2019-12-02,0.23%
52,2019-11-25,-9.98%
53,2019-11-18,9.7%
54,2019-11-11,-8.64%
55,2019-11-04,1.08%
56,2019-10-28,-2.39%
57,2019-10-21,-14.86%
58,2019-10-14,11.46%
59,2019-10-07,-7.1%
60,2019-09-30,-5.26%
61,2019-09-23,15.93%
62,2019-09-16,-15.64%
63,2019-09-09,-3.05%
64,2019-09-02,9.8%
65,2019-08-26,4.3%
66,2019-08-19,-16.27%
67,2019-08-12,17.13%
68,2019-08-05,-16.67%
69,2019-07-29,10.1%
70,2019-07-22,
71,2019-07-08,4.37%
0,2019-07-01,
1,2020-11-16,-13.04%
2,2020-11-09,1.2%
3,2020-11-02,-0.24%
4,2020-10-26,10.92%
5,2020-10-19,-7.63%
6,2020-10-12,7.85%
7,2020-10-05,-13.46%
8,2020-09-28,12.11%
9,2020-09-21,-7.99%
10,2020-09-14,10.2%
11,2020-09-07,-1.14%
12,2020-08-31,5.9%
13,2020-08-24,-7.76%
14,2020-08-17,-2.49%
15,2020-08-10,-10.54%
16,2020-08-03,8.07%
17,2020-07-27,-10.9%
18,2020-07-20,17.99%
19,2020-07-13,-19.01%
20,2020-07-06,17.2%
21,2020-06-29,-11.57%
22,2020-06-22,0.0%
23,2020-06-15,0.53%
24,2020-06-08,12.57%
25,2020-06-01,-1.53%
26,2020-05-25,-3.31%
27,2020-05-18,6.41%
28,2020-05-11,-20.25%
29,2020-05-04,-3.37%
30,2020-04-27,4.51%
31,2020-04-20,-1.05%
32,2020-04-13,7.01%
33,2020-04-06,-7.26%
34,2020-03-30,4.95%
35,2020-03-23,-4.11%
36,2020-03-16,-2.89%
37,2020-03-09,4.6%
38,2020-03-02,-13.4%
39,2020-02-24,-3.31%
40,2020-02-17,20.14%
41,2020-02-10,-2.58%
42,2020-02-03,2.79%
43,2020-01-27,-17.82%
44,2020-01-20,11.95%
45,2020-01-13,1.94%
46,2020-01-06,-4.24%
47,2019-12-30,1.36%
48,2019-12-23,-6.59%
49,2019-12-16,11.08%
50,2019-12-09,5.8%
51,2019-12-02,-16.92%
52,2019-11-25,-7.63%
53,2019-11-18,7.82%
54,2019-11-11,-0.53%
55,2019-11-04,-13.19%
56,2019-10-28,-0.23%
57,2019-10-21,19.3%
58,2019-10-14,-14.7%
59,2019-10-07,0.25%
60,2019-09-30,-9.57%
61,2019-09-23,5.75%
62,2019-09-16,-6.83%
63,2019-09-09,17.81%
64,2019-09-02,-10.0%
65,2019-08-26,2.78%
66,2019-08-19,-8.31%
67,2019-08-12,16.79%
68,2019-08-05,-23.05%
69,2019-07-29,13.11%
70,2019-07-22,-1.89%
71,2019-07-15,-14.02%
72,2019-07-08,15.55%
73,2019-07-01,-23.08%
74,2019-06-24,0.45%
75,2019-06-17,18.16%
0,2019-06-10,
